Year,tournament Name,Stage Name,Group Name,Home Team Name,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Extra Time,Penalty Shootout,Result,Home Team Win,Away Team Win,Draw
1930,1930 FIFA World Cup,group stage,Group 1,France,Mexico,4,1,3,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 4,United States,Belgium,3,0,3,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 2,Yugoslavia,Brazil,2,1,1,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 3,Romania,Peru,3,1,2,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 1,Argentina,France,1,0,1,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 1,Chile,Mexico,3,0,3,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 2,Yugoslavia,Bolivia,4,0,4,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 4,United States,Paraguay,3,0,3,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 3,Uruguay,Peru,1,0,1,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 1,Chile,France,1,0,1,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 1,Argentina,Mexico,6,3,3,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 2,Brazil,Bolivia,4,0,4,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 4,Paraguay,Belgium,1,0,1,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 3,Uruguay,Romania,4,0,4,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,group stage,Group 1,Argentina,Chile,3,1,2,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,semi-finals,not applicable,Argentina,United States,6,1,5,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,semi-finals,not applicable,Uruguay,Yugoslavia,6,1,5,0,0,home team win,1,0,0
1930,1930 FIFA World Cup,final,not applicable,Uruguay,Argentina,4,2,2,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,round of 16,not applicable,Austria,France,3,2,1,1,0,home team win,1,0,0
1934,1934 FIFA World Cup,round of 16,not applicable,Czechoslovakia,Romania,2,1,1,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,round of 16,not applicable,Germany,Belgium,5,2,3,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,round of 16,not applicable,Hungary,Egypt,4,2,2,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,round of 16,not applicable,Italy,United States,7,1,6,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,round of 16,not applicable,Spain,Brazil,3,1,2,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,round of 16,not applicable,Sweden,Argentina,3,2,1,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,round of 16,not applicable,Switzerland,Netherlands,3,2,1,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,quarter-finals,not applicable,Austria,Hungary,2,1,1,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,quarter-finals,not applicable,Czechoslovakia,Switzerland,3,2,1,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,quarter-finals,not applicable,Germany,Sweden,2,1,1,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,quarter-finals,not applicable,Italy,Spain,1,1,0,1,0,draw,0,0,1
1934,1934 FIFA World Cup,quarter-finals,not applicable,Italy,Spain,1,0,1,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,semi-finals,not applicable,Czechoslovakia,Germany,3,1,2,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,semi-finals,not applicable,Italy,Austria,1,0,1,0,0,home team win,1,0,0
1934,1934 FIFA World Cup,third-place match,not applicable,Germany,Austria,3,2,1,0,0,home team win,1,0,0
