Team,Games,Win Rate,Draw Rate,Goals Per Game,Conceded Per Game,Goal Difference,Attack Score,Defense Score,Cluster,Play Style
France,73,0.562,0.123,1.863,1.164,0.699,1.863,0.612,2,🏆 Elite
United States,37,0.243,0.216,1.081,1.784,-0.703,1.081,0.405,3,⚔️ Attacking
Yugoslavia,37,0.432,0.189,1.622,1.243,0.378,1.622,0.586,2,🏆 Elite
Romania,21,0.381,0.143,1.429,1.524,-0.095,1.429,0.492,2,🏆 Elite
Argentina,88,0.602,0.114,1.727,1.148,0.58,1.727,0.617,2,🏆 Elite
Chile,33,0.333,0.182,1.212,1.485,-0.273,1.212,0.505,3,⚔️ Attacking
Uruguay,59,0.441,0.203,1.508,1.288,0.22,1.508,0.571,2,🏆 Elite
Brazil,114,0.693,0.123,2.079,0.947,1.132,2.079,0.684,2,🏆 Elite
Paraguay,27,0.296,0.333,1.111,1.407,-0.296,1.111,0.531,0,🛡️ Defensive
Austria,29,0.414,0.138,1.483,1.621,-0.138,1.483,0.46,2,🏆 Elite
Czechoslovakia,30,0.367,0.167,1.467,1.5,-0.033,1.467,0.5,2,🏆 Elite
Germany,50,0.66,0.12,2.02,1.06,0.96,2.02,0.647,2,🏆 Elite
Hungary,32,0.469,0.094,2.719,1.781,0.938,2.719,0.406,2,🏆 Elite
Italy,83,0.554,0.205,1.542,0.928,0.614,1.542,0.691,2,🏆 Elite
Spain,67,0.478,0.179,1.612,1.119,0.493,1.612,0.627,2,🏆 Elite
Sweden,51,0.392,0.235,1.569,1.431,0.137,1.569,0.523,2,🏆 Elite
Switzerland,41,0.341,0.171,1.341,1.78,-0.439,1.341,0.407,3,⚔️ Attacking
Cuba,3,0.333,0.333,1.667,4.0,-2.333,1.667,-0.333,1,📈 Developing
England,74,0.446,0.243,1.405,0.919,0.486,1.405,0.694,2,🏆 Elite
West Germany,62,0.629,0.177,2.113,1.242,0.871,2.113,0.586,2,🏆 Elite
Turkey,10,0.5,0.1,2.0,1.7,0.3,2.0,0.433,2,🏆 Elite
Northern Ireland,13,0.231,0.385,1.0,1.769,-0.769,1.0,0.41,0,🛡️ Defensive
Soviet Union,31,0.484,0.194,1.71,1.097,0.613,1.71,0.634,2,🏆 Elite
Mexico,60,0.283,0.217,1.033,1.683,-0.65,1.033,0.439,3,⚔️ Attacking
Wales,8,0.125,0.5,0.625,1.25,-0.625,0.625,0.583,0,🛡️ Defensive
Portugal,35,0.514,0.143,1.743,1.171,0.571,1.743,0.61,2,🏆 Elite
North Korea,7,0.143,0.143,0.857,3.0,-2.143,0.857,0.0,1,📈 Developing
Peru,18,0.278,0.167,1.167,1.833,-0.667,1.167,0.389,3,⚔️ Attacking
Belgium,51,0.431,0.176,1.353,1.451,-0.098,1.353,0.516,2,🏆 Elite
Bulgaria,26,0.154,0.269,0.846,2.038,-1.192,0.846,0.321,3,⚔️ Attacking
East Germany,6,0.333,0.333,0.833,0.833,0.0,0.833,0.722,0,🛡️ Defensive
Zaire,3,0.0,0.0,0.0,4.667,-4.667,0.0,-0.556,1,📈 Developing
Poland,38,0.447,0.158,1.289,1.316,-0.026,1.289,0.561,2,🏆 Elite
Australia,20,0.2,0.2,0.85,1.85,-1.0,0.85,0.383,3,⚔️ Attacking
Scotland,23,0.174,0.304,1.087,1.783,-0.696,1.087,0.406,3,⚔️ Attacking
Netherlands,55,0.564,0.182,1.745,0.945,0.8,1.745,0.685,2,🏆 Elite
Haiti,3,0.0,0.0,0.667,4.667,-4.0,0.667,-0.556,1,📈 Developing
Tunisia,18,0.167,0.278,0.778,1.444,-0.667,0.778,0.519,0,🛡️ Defensive
Algeria,13,0.231,0.231,1.0,1.462,-0.462,1.0,0.513,3,⚔️ Attacking
Honduras,9,0.0,0.333,0.333,1.556,-1.222,0.333,0.481,0,🛡️ Defensive
Canada,6,0.0,0.0,0.333,2.0,-1.667,0.333,0.333,3,⚔️ Attacking
Morocco,23,0.261,0.261,0.87,1.174,-0.304,0.87,0.609,3,⚔️ Attacking
South Korea,38,0.211,0.237,1.026,2.053,-1.026,1.026,0.316,3,⚔️ Attacking
Iraq,3,0.0,0.0,0.333,1.333,-1.0,0.333,0.556,3,⚔️ Attacking
Denmark,23,0.391,0.217,1.348,1.261,0.087,1.348,0.58,2,🏆 Elite
United Arab Emirates,3,0.0,0.0,0.667,3.667,-3.0,0.667,-0.222,1,📈 Developing
Costa Rica,21,0.333,0.143,1.048,1.857,-0.81,1.048,0.381,3,⚔️ Attacking
Cameroon,26,0.192,0.308,0.846,1.808,-0.962,0.846,0.397,0,🛡️ Defensive
Republic of Ireland,13,0.231,0.462,0.769,0.769,0.0,0.769,0.744,0,🛡️ Defensive
Colombia,22,0.409,0.091,1.455,1.364,0.091,1.455,0.545,2,🏆 Elite
Norway,8,0.25,0.375,0.875,1.0,-0.125,0.875,0.667,0,🛡️ Defensive
Nigeria,21,0.286,0.143,1.095,1.429,-0.333,1.095,0.524,3,⚔️ Attacking
Saudi Arabia,19,0.211,0.105,0.737,2.316,-1.579,0.737,0.228,3,⚔️ Attacking
Bolivia,6,0.0,0.167,0.167,3.333,-3.167,0.167,-0.111,1,📈 Developing
Russia,14,0.357,0.143,1.714,1.429,0.286,1.714,0.524,2,🏆 Elite
Greece,10,0.2,0.1,0.5,2.0,-1.5,0.5,0.333,3,⚔️ Attacking
Jamaica,3,0.333,0.0,1.0,3.0,-2.0,1.0,0.0,1,📈 Developing
South Africa,9,0.222,0.444,1.222,1.778,-0.556,1.222,0.407,0,🛡️ Defensive
Japan,25,0.28,0.16,1.0,1.32,-0.32,1.0,0.56,3,⚔️ Attacking
Croatia,30,0.567,0.133,1.433,1.1,0.333,1.433,0.633,2,🏆 Elite
China,3,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,1,📈 Developing
Senegal,12,0.417,0.25,1.333,1.417,-0.083,1.333,0.528,2,🏆 Elite
Slovenia,6,0.167,0.167,0.833,1.667,-0.833,0.833,0.444,3,⚔️ Attacking
Ecuador,13,0.385,0.154,1.077,1.077,0.0,1.077,0.641,3,⚔️ Attacking
Trinidad and Tobago,3,0.0,0.333,0.0,1.333,-1.333,0.0,0.556,0,🛡️ Defensive
Serbia and Montenegro,3,0.0,0.0,0.667,3.333,-2.667,0.667,-0.111,1,📈 Developing
Angola,3,0.0,0.667,0.333,0.667,-0.333,0.333,0.778,0,🛡️ Defensive
Czech Republic,3,0.333,0.0,1.0,1.333,-0.333,1.0,0.556,3,⚔️ Attacking
Togo,3,0.0,0.0,0.333,2.0,-1.667,0.333,0.333,3,⚔️ Attacking
Iran,18,0.167,0.222,0.722,1.722,-1.0,0.722,0.426,3,⚔️ Attacking
Ivory Coast,9,0.333,0.111,1.444,1.556,-0.111,1.444,0.481,2,🏆 Elite
Ghana,15,0.333,0.133,1.2,1.533,-0.333,1.2,0.489,3,⚔️ Attacking
Ukraine,5,0.6,0.0,1.0,1.4,-0.4,1.0,0.533,2,🏆 Elite
Serbia,9,0.222,0.111,1.0,1.667,-0.667,1.0,0.444,3,⚔️ Attacking
New Zealand,6,0.0,0.5,0.667,2.333,-1.667,0.667,0.222,0,🛡️ Defensive
Slovakia,4,0.25,0.25,1.25,1.75,-0.5,1.25,0.417,3,⚔️ Attacking
Bosnia and Herzegovina,3,0.333,0.0,1.333,1.333,0.0,1.333,0.556,2,🏆 Elite
Egypt,7,0.0,0.286,0.714,1.714,-1.0,0.714,0.429,0,🛡️ Defensive
Iceland,3,0.0,0.333,0.667,1.667,-1.0,0.667,0.444,0,🛡️ Defensive
Panama,3,0.0,0.0,0.667,3.667,-3.0,0.667,-0.222,1,📈 Developing
Qatar,3,0.0,0.0,0.333,2.333,-2.0,0.333,0.222,1,📈 Developing
