Team,Games,Goals Scored,Goals Conceded,Win Rate
France,73,136,85,56.2
United States,37,40,66,24.3
Yugoslavia,37,60,46,43.2
Romania,21,30,32,38.1
Argentina,88,152,101,60.2
Chile,33,40,49,33.3
Uruguay,59,89,76,44.1
Brazil,114,237,108,69.3
Paraguay,27,30,38,29.6
Austria,29,43,47,41.4
Czechoslovakia,30,44,45,36.7
Germany,50,101,53,66.0
Hungary,32,87,57,46.9
Italy,83,128,77,55.4
Spain,67,108,75,47.8
Sweden,51,80,73,39.2
Switzerland,41,55,73,34.1
England,74,104,68,44.6
West Germany,62,131,77,62.9
Turkey,10,20,17,50.0
Northern Ireland,13,13,23,23.1
Soviet Union,31,53,34,48.4
Mexico,60,62,101,28.3
Wales,8,5,10,12.5
Portugal,35,61,41,51.4
North Korea,7,6,21,14.3
Peru,18,21,33,27.8
Belgium,51,69,74,43.1
Bulgaria,26,22,53,15.4
East Germany,6,5,5,33.3
Poland,38,49,50,44.7
Australia,20,17,37,20.0
Scotland,23,25,41,17.4
Netherlands,55,96,52,56.4
Tunisia,18,14,26,16.7
Algeria,13,13,19,23.1
Honduras,9,3,14,0.0
Canada,6,2,12,0.0
Morocco,23,20,27,26.1
South Korea,38,39,78,21.1
Denmark,23,31,29,39.1
Costa Rica,21,22,39,33.3
Cameroon,26,22,47,19.2
Republic of Ireland,13,10,10,23.1
Colombia,22,32,30,40.9
Norway,8,7,8,25.0
Nigeria,21,23,30,28.6
Saudi Arabia,19,14,44,21.1
Bolivia,6,1,20,0.0
Russia,14,24,20,35.7
Greece,10,5,20,20.0
South Africa,9,11,16,22.2
Japan,25,25,33,28.0
Croatia,30,43,33,56.7
Senegal,12,16,17,41.7
Slovenia,6,5,10,16.7
Ecuador,13,14,14,38.5
Iran,18,13,31,16.7
Ivory Coast,9,13,14,33.3
Ghana,15,18,23,33.3
Ukraine,5,5,7,60.0
Serbia,9,9,15,22.2
New Zealand,6,4,14,0.0
Egypt,7,5,12,0.0
