Team,Games,Win_Rate,Avg_Goals,Recent_Form
Algeria,6,0.2727272727272727,1.0,0.2
Angola,1,0.0,0.0,0.5
Argentina,63,0.5977011494252874,1.7126436781609196,1.0
Australia,8,0.16666666666666666,0.8333333333333334,0.2
Austria,14,0.44,1.52,0.0
Belgium,24,0.4489795918367347,1.4081632653061225,0.8
Bolivia,1,0.0,0.0,0.0
Bosnia and Herzegovina,1,0.0,0.5,0.0
Brazil,86,0.6964285714285714,2.0714285714285716,0.6
Bulgaria,7,0.19047619047619047,0.9523809523809523,0.8
Cameroon,14,0.16,0.84,0.0
Canada,2,0.0,0.2,0.0
Chile,15,0.3103448275862069,1.1724137931034482,0.4
China,1,0.0,0.0,0.5
Colombia,8,0.42857142857142855,1.4761904761904763,0.6
Costa Rica,8,0.35,1.0,0.2
Croatia,10,0.5517241379310345,1.4137931034482758,0.6
Cuba,2,0.0,3.0,0.0
Czech Republic,2,0.5,1.5,0.5
Czechoslovakia,11,0.3793103448275862,1.5172413793103448,0.6
Denmark,10,0.45,1.5,0.2
East Germany,3,0.5,1.0,0.5
Ecuador,5,0.4166666666666667,1.0833333333333333,0.4
Egypt,1,0.0,0.75,0.0
England,40,0.4520547945205479,1.4109589041095891,0.6
France,37,0.5633802816901409,1.8450704225352113,0.8
Germany,35,0.6808510638297872,2.021276595744681,0.6
Ghana,5,0.35714285714285715,1.2857142857142858,0.2
Greece,4,0.125,0.25,0.2
Haiti,1,0.0,1.0,0.0
Honduras,5,0.0,0.375,0.0
Hungary,18,0.4838709677419355,2.806451612903226,0.4
Iceland,1,0.0,0.5,0.0
Iran,5,0.17647058823529413,0.7647058823529411,0.4
Iraq,2,0.0,0.5,0.0
Italy,56,0.5609756097560976,1.5609756097560976,0.2
Ivory Coast,3,0.3333333333333333,1.5,0.4
Jamaica,1,0.0,0.0,0.5
Japan,15,0.2916666666666667,1.0,0.4
Mexico,19,0.2807017543859649,1.0526315789473684,0.4
Morocco,8,0.25,0.9,0.6
Netherlands,32,0.5740740740740741,1.7407407407407407,0.8
New Zealand,1,0.0,0.6666666666666666,0.0
Nigeria,11,0.3,1.1,0.4
North Korea,2,0.16666666666666666,1.0,0.2
Northern Ireland,4,0.25,1.0833333333333333,0.2
Norway,1,0.0,1.0,0.0
Panama,1,0.0,0.5,0.0
Paraguay,11,0.3076923076923077,1.1538461538461537,0.6
Peru,7,0.26666666666666666,1.2666666666666666,0.0
Poland,18,0.4722222222222222,1.3333333333333333,0.4
Portugal,21,0.5151515151515151,1.6666666666666667,0.4
Qatar,2,0.0,0.0,0.0
Republic of Ireland,6,0.2222222222222222,0.4444444444444444,0.2
Romania,9,0.4,1.5,0.6
Russia,6,0.38461538461538464,1.6923076923076923,0.6
Saudi Arabia,8,0.2222222222222222,0.7222222222222222,0.4
Scotland,9,0.18181818181818182,1.1363636363636365,0.2
Senegal,4,0.375,1.375,0.4
Serbia,4,0.25,0.875,0.2
Serbia and Montenegro,1,0.0,0.0,0.5
Slovakia,2,0.0,0.5,0.0
Slovenia,3,0.2,1.0,0.2
South Africa,6,0.14285714285714285,1.2857142857142858,0.2
South Korea,18,0.19444444444444445,1.0,0.2
Soviet Union,20,0.5,1.75,0.4
Spain,35,0.5,1.65625,0.4
Sweden,29,0.4,1.6,0.6
Switzerland,14,0.32432432432432434,1.3513513513513513,0.2
Togo,2,0.0,0.5,0.0
Trinidad and Tobago,1,0.0,0.0,0.5
Tunisia,7,0.11764705882352941,0.7647058823529411,0.2
Turkey,2,0.2,2.4,0.2
Ukraine,1,0.5,2.0,0.5
United Arab Emirates,1,0.0,0.0,0.5
United States,16,0.24242424242424243,1.121212121212121,0.2
Uruguay,31,0.44642857142857145,1.5535714285714286,0.8
Wales,3,0.14285714285714285,0.7142857142857143,0.2
West Germany,39,0.6229508196721312,2.1311475409836067,0.8
Yugoslavia,16,0.42424242424242425,1.6666666666666667,0.6
Zaire,2,0.0,0.0,0.0
